2024-01-25 14:48:32.102 INFO     _GCC_TOF_CAM_ started successfully
2024-01-25 14:48:57.027 DEBUG    Socket created
2024-01-25 14:48:57.053 DEBUG    Connection successful
2024-01-25 14:48:57.223 DEBUG    Socket created
2024-01-25 14:48:57.239 DEBUG    Connection successful
2024-01-25 14:48:57.425 DEBUG    Socket created
2024-01-25 14:48:57.440 DEBUG    Connection successful
2024-01-25 14:48:57.609 DEBUG    Socket created
2024-01-25 14:48:57.625 DEBUG    Connection successful
2024-01-25 14:48:57.796 DEBUG    Socket created
2024-01-25 14:48:57.812 DEBUG    Connection successful
2024-01-25 14:48:57.983 DEBUG    Socket created
2024-01-25 14:48:57.998 DEBUG    Connection successful
2024-01-25 14:48:58.167 DEBUG    Socket created
2024-01-25 14:48:58.183 DEBUG    Connection successful
2024-01-25 14:48:58.349 DEBUG    Socket created
2024-01-25 14:48:58.364 DEBUG    Connection successful
2024-01-25 14:48:58.549 DEBUG    Socket created
2024-01-25 14:48:58.564 DEBUG    Connection successful
2024-01-25 14:48:58.749 DEBUG    Socket created
2024-01-25 14:48:58.765 DEBUG    Connection successful
2024-01-25 14:48:58.935 DEBUG    Socket created
2024-01-25 14:48:58.950 DEBUG    Connection successful
2024-01-25 14:48:59.135 DEBUG    Socket created
2024-01-25 14:48:59.151 DEBUG    Connection successful
2024-01-25 14:48:59.335 DEBUG    Socket created
2024-01-25 14:48:59.336 DEBUG    Connection successful
2024-01-25 14:48:59.506 DEBUG    Socket created
2024-01-25 14:48:59.520 DEBUG    Connection successful
2024-01-25 14:48:59.706 DEBUG    Socket created
2024-01-25 14:48:59.722 DEBUG    Connection successful
2024-01-25 14:48:59.908 DEBUG    Socket created
2024-01-25 14:48:59.924 DEBUG    Connection successful
2024-01-25 14:49:00.094 DEBUG    Socket created
2024-01-25 14:49:00.108 DEBUG    Connection successful
2024-01-25 14:49:00.277 DEBUG    Socket created
2024-01-25 14:49:00.293 DEBUG    Connection successful
2024-01-25 14:49:00.477 DEBUG    Socket created
2024-01-25 14:49:00.493 DEBUG    Connection successful
2024-01-25 14:49:00.662 DEBUG    Socket created
2024-01-25 14:49:00.663 DEBUG    Connection successful
2024-01-25 14:49:00.862 DEBUG    Socket created
2024-01-25 14:49:00.877 DEBUG    Connection successful
2024-01-25 14:49:01.077 DEBUG    Socket created
2024-01-25 14:49:01.078 DEBUG    Connection successful
2024-01-25 14:49:01.289 DEBUG    Socket created
2024-01-25 14:49:01.292 DEBUG    Connection successful
2024-01-25 14:49:01.493 DEBUG    Socket created
2024-01-25 14:49:01.495 DEBUG    Connection successful
2024-01-25 14:49:01.705 DEBUG    Socket created
2024-01-25 14:49:01.706 DEBUG    Connection successful
2024-01-25 14:49:01.891 DEBUG    Socket created
2024-01-25 14:49:01.906 DEBUG    Connection successful
2024-01-25 14:49:02.105 DEBUG    Socket created
2024-01-25 14:49:02.121 DEBUG    Connection successful
2024-01-25 14:49:02.306 DEBUG    Socket created
2024-01-25 14:49:02.307 DEBUG    Connection successful
2024-01-25 14:49:02.475 DEBUG    Socket created
2024-01-25 14:49:02.476 DEBUG    Connection successful
2024-01-25 14:49:02.645 DEBUG    Socket created
2024-01-25 14:49:02.660 DEBUG    Connection successful
2024-01-25 14:49:05.315 DEBUG    Socket created
2024-01-25 14:49:05.338 DEBUG    Connection successful
2024-01-25 14:49:05.786 DEBUG    Loaded backend qtagg version 5.15.10.
2024-01-25 14:49:05.845 DEBUG    findfont: Matching arial:style=normal:variant=normal:weight=bold:stretch=normal:size=20.0.
